Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Review,Liked,sentiment,Cuisine,Restaurant_id
20,0.458,0.542,0,-0.1759,0.050132934,0.742647827,0.207219183,The Burrittos Blah!,0,1 star,Mexican,5
21,0,0.345,0.655,0.5859,0.004061041,0.038574651,0.957364321,"The food, amazing.",1,5 stars,Mexican,5
22,0,0.5,0.5,0.4588,0.003752587,0.072473012,0.923774421,Service is also cute.,1,4 stars,Mexican,5
23,0,0.458,0.542,0.7964,0.042909347,0.084049836,0.873040855,I could care less... The interior is just beautiful.,1,3 stars,Japanese,6
24,0,1,0,0,0.048429746,0.738237202,0.21333304,So they performed.,1,3 stars,Japanese,6
25,0,0.706,0.294,0.5777,0.00189686,0.007569675,0.990533471,That's right....the red velvet cake.....ohhh this stuff is so good.,1,3 stars,Japanese,6
26,0,1,0,0,0.636506557,0.346426189,0.017067302,#NAME?,0,1 star,Japanese,6
27,0,0.601,0.399,0.8074,0.018957864,0.148849443,0.832192719,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,5 stars,Mexican,7
28,0,0.796,0.204,0.5984,0.428592473,0.474970728,0.096436843,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,2 stars,Mexican,7
29,0.451,0.549,0,-0.6249,0.950298369,0.04619918,0.003502364,The worst was the salmon sashimi.,0,1 star,Mexican,7
30,0,0.848,0.152,0.3612,0.001441874,0.03853469,0.960023463,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,4 stars,Mexican,7
31,0,0.642,0.358,0.4199,0.724338531,0.240568236,0.035093244,This was like the final blow!,0,5 stars,Mexican,7
32,0.423,0.577,0,-0.7074,0.014017392,0.048927262,0.937055409,I found this place by accident and I could not be happier.,1,5 stars,Mexican,7
33,0,0.701,0.299,0.7391,0.055550016,0.362168849,0.582281113,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,4 stars,Mexican,7
34,0,0.615,0.385,0.3612,0.001633681,0.018868145,0.979498148,"Overall, I like this place a lot.",1,4 stars,Mexican,7
35,0,1,0,0,0.005441534,0.060454819,0.934103668,The only redeeming quality of the restaurant was that it was very inexpensive.,1,3 stars,Mexican,7
36,0,0.58,0.42,0.4404,0.00458699,0.12463893,0.870774031,Ample portions and good prices.,1,5 stars,Mexican,7
37,0.283,0.609,0.109,-0.6124,0.972313881,0.02491273,0.00277333,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,1 star,Mexican,7
38,0,0.589,0.411,0.636,0.00121444,0.010540267,0.988245368,My first visit to Hiro was a delight!,1,5 stars,Mexican,7
39,0.714,0.286,0,-0.3612,0.956176937,0.035867196,0.007955909,Service sucks.,0,1 star,Mexican,7
40,0,1,0,0,0.015094514,0.717328906,0.267576486,The shrimp tender and moist.,1,4 stars,Mexican,7
41,0.264,0.736,0,-0.5116,0.88742131,0.105601937,0.006976764,There is not a deal good enough that would drag me into that establishment again.,0,2 stars,Mexican,7
42,0.297,0.621,0.082,-0.683,0.94850105,0.048818652,0.002680367,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,2 stars,Mexican,7
43,0,0.565,0.435,0.8271,0.001553822,0.01376098,0.984685183,"On a positive note, our server was very attentive and provided great service.",1,5 stars,Mexican,7
44,0.421,0.579,0,-0.8402,0.974965811,0.022007151,0.003027019,"Frozen pucks of disgust, with some of the worst people behind the register.",0,1 star,Mexican,7
45,0,0.815,0.185,0.3612,0.01441441,0.215992704,0.769592881,The only thing I did like was the prime rib and dessert section.,1,4 stars,Mexican,7
46,0.5,0.5,0,-0.79,0.98000735,0.017600624,0.002391981,It's too bad the food is so damn generic.,0,2 stars,Mexican,7
47,0,0.707,0.293,0.4404,0.005118637,0.069986232,0.924895108,"The burger is good beef, cooked just right.",1,5 stars,Mexican,7
48,0,0.764,0.236,0.3544,0.037420783,0.504814088,0.457765132,If you want a sandwich just go to any Firehouse!!!!!,1,1 star,Mexican,7
49,0.159,0.841,0,-0.5267,0.001102323,0.010739305,0.988158405,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,5 stars,Mexican,7
50,0,0.872,0.128,0.4215,0.002222148,0.147027686,0.850750208,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,5 stars,Mexican,7
51,0,1,0,0,0.289310604,0.65145427,0.059235066,He came running after us when he realized my husband had left his sunglasses on the table.,1,2 stars,Mexican,7
52,0,0.554,0.446,0.6166,0.001507899,0.009673032,0.988819063,Their chow mein is so good!,1,5 stars,Mexican,7
53,0.277,0.723,0,-0.7293,0.971367121,0.026800491,0.001832402,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,1 star,Mexican,7
54,0,0.536,0.464,0.3802,0.005120288,0.093788423,0.901091218,The portion was huge!,1,2 stars,Mexican,7
55,0,0.339,0.661,0.9136,0.00185356,0.008357218,0.989789188,"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,5 stars,Mexican,7
56,0.186,0.719,0.095,-0.3657,0.854335666,0.130773619,0.014890673,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,1 star,Mexican,7
57,0,0.8,0.2,0.3612,0.207323343,0.750164747,0.042511847,Not much seafood and like 5 strings of pasta at the bottom.,0,2 stars,Mexican,7
58,0,0.811,0.189,0.6369,0.010448541,0.233981743,0.755569696,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,5 stars,Mexican,7
59,0.322,0.678,0,-0.6956,0.964354932,0.033585176,0.002059918,"The ripped banana was not only ripped, but petrified and tasteless.",0,1 star,Mexican,7
60,0.133,0.867,0,-0.3182,0.455509126,0.494217575,0.050273266,At least think to refill my water before I struggle to wave you over for 10 minutes.,0,2 stars,Mexican,7
61,0,1,0,0,0.002098076,0.054797903,0.943103969,This place receives stars for their APPETIZERS!!!,1,4 stars,Mexican,7
62,0,0.619,0.381,0.5719,0.002085308,0.033958312,0.963956416,The cocktails are all handmade and delicious.,1,5 stars,Mexican,7
63,0,0.649,0.351,0.4019,0.001957809,0.133149192,0.86489296,We'd definitely go back here again.,1,5 stars,Mexican,7
64,0,0.644,0.356,0.5949,0.001315626,0.011963778,0.986720562,We are so glad we found this place.,1,5 stars,Mexican,7
65,0,0.584,0.416,0.7506,0.004666958,0.035026118,0.960306883,"Great food and service, huge portions and they give a military discount.",1,5 stars,Mexican,7
66,0,0.532,0.468,0.6588,0.001436957,0.012353631,0.986209333,Always a great time at Dos Gringos!,1,5 stars,Mexican,7
67,0,0.743,0.257,0.5859,0.003616072,0.025992811,0.970391095,Update.....went back for a second time and it was still just as amazing,1,1 star,Mexican,7
68,0,1,0,0,0.771197319,0.217670351,0.011132243,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,2 stars,Mexican,7
69,0,0.268,0.732,0.8481,0.003064879,0.027083149,0.96985203,A great way to finish a great.,1,5 stars,Mexican,7
70,0,1,0,0,0.014510773,0.315865755,0.669623494,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,5 stars,Mexican,7
71,0,0.633,0.367,0.5379,0.00262768,0.053395312,0.943976998,#NAME?,1,5 stars,Mexican,7
72,0.302,0.698,0,-0.0772,0.863052487,0.123427674,0.013519719,The service was meh.,0,3 stars,Mexican,7
73,0,1,0,0,0.657323837,0.311419129,0.031256948,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,1 star,Mexican,7
74,0.085,0.915,0,-0.2382,0.933920145,0.060810495,0.005269337,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,2 stars,Mexican,7
75,0.192,0.481,0.327,0.2431,0.965217054,0.032562498,0.002220334,The scallop dish is quite appalling for value as well.,0,3 stars,Mexican,7
76,0.505,0.495,0,-0.623,0.928349614,0.06302394,0.008626498,2 times - Very Bad Customer Service !,0,1 star,Mexican,7
77,0,0.458,0.542,0.807,0.001522462,0.015413568,0.983063996,The sweet potato fries were very good and seasoned well.,1,5 stars,Mexican,7
78,0,0.697,0.303,0.7269,0.00098797,0.01013751,0.988874555,Today is the second time I've been to their lunch buffet and it was pretty good.,1,4 stars,Mexican,7
79,0.2,0.6,0.199,-0.0056,0.292623281,0.332360774,0.375015914,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,2 stars,Mexican,7
80,0,0.794,0.206,0.6369,0.864183247,0.125781506,0.010035299,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,4 stars,Mexican,7
81,0.122,0.745,0.133,0.0516,0.84570986,0.146333739,0.007956465,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,1 star,Mexican,7
82,0,1,0,0,0.892262161,0.102123342,0.005614483,The turkey and roast beef were bland.,0,2 stars,Mexican,7
83,0,1,0,0,0.005602231,0.08188843,0.912509322,This place has it!,1,5 stars,Mexican,7
84,0.174,0.72,0.106,-0.3818,0.884959936,0.106252432,0.008787558,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,5 stars,Mexican,7
85,0,0.583,0.417,0.8613,0.002197811,0.008072386,0.989729762,I love the Pho and the spring rolls oh so yummy you have to try.,1,5 stars,Mexican,7
86,0.211,0.68,0.109,-0.3612,0.969913483,0.028288316,0.001798108,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,2 stars,Italian,8
87,0,0.631,0.369,0.6884,0.003318651,0.01211711,0.984564185,All I have to say is the food was amazing!!!,1,5 stars,Italian,8
88,0.512,0.488,0,-0.636,0.052351221,0.201043367,0.746605456,Omelets are to die for!,1,1 star,Italian,8
89,0,0.323,0.677,0.7424,0.001736843,0.013680016,0.984583139,Everything was fresh and delicious!,1,5 stars,Italian,8
90,0.314,0.686,0,-0.4939,0.973507941,0.024361998,0.002129975,"In summary, this was a largely disappointing dining experience.",0,2 stars,Italian,8
91,0.075,0.446,0.479,0.8945,0.041856617,0.238143802,0.719999552,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,4 stars,Italian,8
92,0,0.898,0.102,0.1501,0.688596189,0.254986078,0.056417812,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,5 stars,Italian,8
93,0,0.283,0.717,0.7249,0.00188459,0.024762955,0.973352432,Best breakfast buffet!!!,1,5 stars,Italian,8
94,0,1,0,0,0.470748007,0.461286128,0.067965843,say bye bye to your tip lady!,0,5 stars,Italian,8
95,0,1,0,0,0.670045197,0.302024513,0.027930269,We'll never go again.,0,5 stars,Italian,8
96,0,1,0,0,0.002500272,0.238155022,0.759344697,Will be back again!,1,5 stars,Italian,8
97,0,1,0,0,0.001563756,0.08605317,0.91238308,Food arrived quickly!,1,5 stars,Italian,8
98,0.445,0.555,0,-0.3412,0.965457261,0.030455401,0.004087413,It was not good.,0,1 star,Italian,8
99,0,0.738,0.262,0.4927,0.001624157,0.018767238,0.979608595,"On the up side, their cafe serves really good food.",1,4 stars,Italian,8
100,0,0.774,0.226,0.8221,0.001236229,0.018112803,0.980650961,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,5 stars,Italian,8
101,0,0.715,0.285,0.7178,0.003782786,0.037069254,0.95914793,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,4 stars,Italian,8
102,0,0.704,0.296,0.6369,0.008591497,0.052302629,0.939105868,"Best Buffet in town, for the price you cannot beat it.",1,5 stars,Italian,8
103,0,0.658,0.342,0.8531,0.001961047,0.008370987,0.989668012,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,5 stars,Italian,8
104,0,0.775,0.225,0.4404,0.001408833,0.014707551,0.98388356,This is one of the better buffets that I have been to.,1,5 stars,Italian,8
105,0,0.673,0.327,0.5983,0.001362782,0.011303801,0.987333417,So we went to Tigerlilly and had a fantastic afternoon!,1,5 stars,Italian,8
106,0,0.616,0.384,0.8439,0.00137947,0.006956105,0.99166441,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,5 stars,Italian,8
107,0,0.56,0.44,0.6705,0.001440588,0.010578074,0.987981379,The ambience is wonderful and there is music playing.,1,5 stars,Italian,8
108,0,1,0,0,0.005793521,0.724638522,0.269567996,Will go back next trip out.,1,3 stars,Japanese,9
109,0,0.223,0.777,0.5399,0.001685751,0.009245273,0.989069045,Sooooo good!!,1,4 stars,Japanese,9
110,0.141,0.468,0.392,0.6479,0.857922196,0.131823212,0.010254518,"REAL sushi lovers, let's be honest - Yama is not that good.",0,3 stars,Japanese,9
111,0,1,0,0,0.05216847,0.716383338,0.231448203,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,2 stars,Japanese,9
112,0,0.485,0.515,0.8173,0.001093149,0.00948882,0.989418089,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,5 stars,Japanese,9
113,0,0.517,0.483,0.4215,0.014224852,0.247314468,0.73846066,"Nice, spicy and tender.",1,5 stars,Japanese,9
114,0,0.256,0.744,0.4404,0.012655889,0.154292032,0.833052099,Good prices.,1,4 stars,Japanese,9
115,0,1,0,0,0.090924084,0.813451827,0.095624045,Check it out.,1,3 stars,Japanese,9
116,0.361,0.233,0.406,0.1007,0.957835436,0.03410542,0.008059182,It was pretty gross!,0,3 stars,Japanese,9
117,0,0.508,0.492,0.4404,0.048308656,0.339222431,0.612468958,I've had better atmosphere.,0,2 stars,Japanese,9
118,0.269,0.731,0,-0.2382,0.549791574,0.394338548,0.055869885,Kind of hard to mess up a steak but they did.,0,3 stars,Japanese,9
119,0.15,0.705,0.145,-0.0314,0.569221795,0.309344709,0.121433437,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,3 stars,Japanese,9
120,0,1,0,0,0.966227114,0.031272039,0.002500868,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,2 stars,Japanese,9
121,0.385,0.615,0,-0.7391,0.905527234,0.085277855,0.009194856,"Worst service to boot, but that is the least of their worries.",0,1 star,Japanese,9
122,0,0.545,0.455,0.6124,0.004640999,0.067149758,0.928209186,Service was fine and the waitress was friendly.,1,4 stars,Japanese,9
123,0.099,0.604,0.297,0.8481,0.009137273,0.103261255,0.887601495,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,5 stars,Japanese,9
124,0,0.911,0.089,0.2382,0.002995494,0.077565834,0.91943866,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,5 stars,Japanese,9
125,0.448,0.372,0.18,-0.6514,0.905471444,0.075435676,0.019092852,"Host staff were, for lack of a better word, BITCHES!",0,2 stars,Japanese,9
126,0.284,0.59,0.126,-0.5496,0.93572104,0.059409209,0.004869744,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,2 stars,Japanese,9
127,0,1,0,0,0.003690237,0.171820134,0.824489594,"Phenomenal food, service and ambiance.",1,5 stars,Japanese,9
128,0,1,0,0,0.484488368,0.482224584,0.033287086,I wouldn't return.,0,1 star,Japanese,9
129,0,0.765,0.235,0.5574,0.002578696,0.125433981,0.871987343,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,5 stars,Japanese,9
130,0,1,0,0,0.979972303,0.017359467,0.002668261,This place is way too overpriced for mediocre food.,0,2 stars,Japanese,9
131,0,0.334,0.666,0.6114,0.00270199,0.037914734,0.959383309,Penne vodka excellent!,1,5 stars,Japanese,9
132,0,0.868,0.132,0.4404,0.00132975,0.021207171,0.977463126,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,4 stars,Japanese,9
133,0.5,0.5,0,-0.4588,0.958286703,0.037778731,0.003934508,The management is rude.,0,1 star,Japanese,9
134,0,0.625,0.375,0.765,0.001342462,0.025284998,0.973372519,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,5 stars,Japanese,9
135,0,0.684,0.316,0.8334,0.00599792,0.019424297,0.974577785,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,5 stars,Japanese,9
136,0.27,0.476,0.254,-0.0258,0.001915141,0.052916043,0.945168853,I had a seriously solid breakfast here.,1,2 stars,Japanese,9
137,0,0.704,0.296,0.6369,0.001369146,0.012553069,0.986077785,This is one of the best bars with food in Vegas.,1,5 stars,Japanese,9
138,0.124,0.717,0.159,0.228,0.456253916,0.36215201,0.181594074,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,1 star,Japanese,9
139,0,0.648,0.352,0.7171,0.002550516,0.022550413,0.974899113,My drink was never empty and he made some really great menu suggestions.,1,5 stars,Japanese,9
140,0,1,0,0,0.778418303,0.19144845,0.030133201,Don't do it!!!!,0,1 star,Japanese,9
141,0.355,0.645,0,-0.6072,0.959980726,0.037751518,0.00226779,The waiter wasn't helpful or friendly and rarely checked on us.,0,2 stars,Japanese,9
142,0.195,0.805,0,-0.5256,0.976327717,0.021778496,0.00189375,My husband and I ate lunch here and were very disappointed with the food and service.,0,2 stars,Japanese,9
143,0,1,0,0,0.957555771,0.039964002,0.002480279,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,2 stars,Japanese,9
144,0,0.696,0.304,0.6757,0.619996548,0.330294639,0.049708791,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,4 stars,Japanese,9
145,0,0.652,0.348,0.5859,0.002234685,0.042528063,0.955237269,The bathrooms are clean and the place itself is well decorated.,1,5 stars,Japanese,9
146,0,1,0,0,0.949371338,0.046966739,0.003662012,"The menu is always changing, food quality is going down & service is extremely slow.",0,2 stars,Japanese,9
147,0,1,0,0,0.658949375,0.319051832,0.021998851,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,3 stars,Japanese,9
148,0,1,0,0,0.752043188,0.22519283,0.022763994,I give it 2 thumbs down,0,2 stars,Japanese,9
149,0.245,0.755,0,-0.4404,0.62366271,0.349855006,0.026482267,We watched our waiter pay a lot more attention to other tables and ignore us.,0,2 stars,Japanese,9
150,0,0.89,0.11,0.2732,0.001434152,0.187075585,0.811490238,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,5 stars,Japanese,9
151,0,0.631,0.369,0.6249,0.001076268,0.014998504,0.983925223,This is a great restaurant at the Mandalay Bay.,1,5 stars,Japanese,9
152,0.286,0.714,0,-0.4215,0.806114435,0.185153142,0.008732457,We waited for forty five minutes in vain.,0,1 star,Japanese,9
153,0,1,0,0,0.744267285,0.243130267,0.012602511,Crostini that came with the salad was stale.,0,2 stars,Japanese,9
154,0,0.532,0.468,0.6588,0.001599201,0.036599785,0.961800992,Some highlights : Great quality nigiri here!,1,5 stars,Japanese,9
155,0,0.576,0.424,0.7096,0.002651317,0.052971859,0.944376767,the staff is friendly and the joint is always clean.,1,5 stars,Japanese,9
156,0.058,0.558,0.385,0.8689,0.002824679,0.048472404,0.948702931,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,5 stars,Japanese,9
157,0,0.733,0.267,0.807,0.001489811,0.026439874,0.972070277,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,5 stars,Japanese,9
158,0,0.508,0.492,0.4404,0.00216081,0.01475434,0.983084857,this place is good.,1,4 stars,Japanese,9
159,0.138,0.862,0,-0.34,0.88350594,0.10922806,0.007265975,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,2 stars,Japanese,9
160,0.221,0.779,0,-0.3724,0.899614453,0.09481173,0.005573855,I came back today since they relocated and still not impressed.,0,2 stars,Japanese,9
161,0,1,0,0,0.022581097,0.803290546,0.174128354,I was seated immediately.,1,5 stars,Japanese,9
162,0,1,0,0,0.003186158,0.169635013,0.827178895,"Their menu is diverse, and reasonably priced.",1,4 stars,Japanese,9
163,0.454,0.546,0,-0.3595,0.391414791,0.522047639,0.086537577,Avoid at all cost!,0,1 star,Japanese,9
164,0,1,0,0,0.018597394,0.423724025,0.557678521,Restaurant is always full but never a wait.,1,4 stars,Japanese,9
165,0,0,1,0.6467,0.155937061,0.279851228,0.564211726,DELICIOUS!!,1,5 stars,Japanese,9
166,0,0.781,0.219,0.6369,0.001437723,0.013807224,0.984755039,This place is hands-down one of the best places to eat in the Phoenix metro area.,1,5 stars,Japanese,9
167,0,0.775,0.225,0.4404,0.428240806,0.48611334,0.085645869,So don't go there if you are looking for good food...,0,3 stars,Japanese,9
168,0.473,0.527,0,-0.6696,0.900056541,0.089935452,0.010008089,I've never been treated so bad.,0,1 star,Japanese,9
169,0,1,0,0,0.646538377,0.318307102,0.035154462,Bacon is hella salty.,1,3 stars,Japanese,9
170,0.147,0.853,0,-0.4767,0.968024969,0.029182825,0.002792219,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,1 star,Japanese,9
171,0.085,0.846,0.069,-0.1027,0.283609897,0.576832235,0.139557898,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,5 stars,Japanese,9
172,0,0.534,0.466,0.5413,0.00309265,0.040920183,0.955987215,The waitresses are very friendly.,1,4 stars,Japanese,9
173,0,0.7,0.3,0.6788,0.003670919,0.061774634,0.934554398,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,5 stars,Japanese,9
174,0,0.634,0.366,0.8689,0.001470769,0.008065876,0.990463436,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,5 stars,Japanese,9
175,0.161,0.839,0,-0.5334,0.608767748,0.358326107,0.032906141,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,2 stars,Japanese,9
176,0,0.769,0.231,0.2732,0.922975659,0.072444327,0.004580024,The service here leaves a lot to be desired.,0,3 stars,Japanese,9
177,0,0.8,0.2,0.3612,0.002319549,0.135156438,0.862523973,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,4 stars,Japanese,9
178,0,0.699,0.301,0.6345,0.00817183,0.315581501,0.676246643,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,4 stars,Japanese,9
179,0.136,0.864,0,-0.296,0.733652651,0.251828969,0.014518372,We literally sat there for 20 minutes with no one asking to take our order.,0,1 star,Japanese,9
180,0.2,0.8,0,-0.6106,0.969100237,0.027990237,0.002909569,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,1 star,Japanese,9
181,0.126,0.772,0.102,-0.1531,0.923197806,0.073714562,0.0030877,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,1 star,Japanese,9
182,0.424,0.576,0,-0.6606,0.938667297,0.054788385,0.006544381,I dressed up to be treated so rudely!,0,1 star,Indian,10
183,0.444,0.556,0,-0.34,0.610154152,0.366948783,0.022896988,It was probably dirt.,0,2 stars,Indian,10
184,0,0.714,0.286,0.5574,0.003552542,0.019889006,0.976558447,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,5 stars,Indian,10
185,0,1,0,0,0.001310841,0.021225091,0.97746402,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,5 stars,Indian,10
186,0.316,0.684,0,-0.7184,0.970828772,0.025753701,0.003417544,"The food sucked, which we expected but it sucked more than we could have imagined.",0,2 stars,Indian,10
187,0,0.27,0.73,0.4019,0.005112399,0.062260237,0.93262732,Interesting decor.,1,4 stars,Indian,10
188,0,0.715,0.285,0.4201,0.00575835,0.078569926,0.915671766,What I really like there is the crepe station.,1,5 stars,Indian,10
189,0,0.776,0.224,0.6697,0.001295111,0.023818428,0.974886417,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,5 stars,Indian,10
190,0,0.637,0.363,0.6114,0.004066098,0.133434355,0.862499475,you can watch them preparing the delicious food!),1,5 stars,Indian,10
191,0,0.625,0.375,0.5574,0.002244628,0.015654553,0.982100785,Both of the egg rolls were fantastic.,1,5 stars,Indian,10
192,0.196,0.804,0,-0.296,0.717865586,0.271442115,0.010692295,"When my order arrived, one of the gyros was missing.",0,1 star,Indian,10
193,0,0.753,0.247,0.5563,0.001511125,0.054499377,0.943989515,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,4 stars,Indian,10
194,0.093,0.727,0.18,0.4627,0.247643635,0.614352465,0.138003856,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,3 stars,Indian,10
195,0,0.667,0.333,0.6696,0.001020632,0.025167998,0.973811388,The best place to go for a tasty bowl of Pho!,1,5 stars,Indian,10
196,0,1,0,0,0.910492241,0.080387026,0.009120748,The live music on Fridays totally blows.,0,1 star,Indian,10
197,0.252,0.503,0.245,-0.021,0.939434826,0.055799283,0.004765961,I've never been more insulted or felt disrespected.,0,1 star,Indian,10
198,0,0.364,0.636,0.5413,0.004022749,0.066977106,0.929000199,Very friendly staff.,1,5 stars,Indian,10
199,0,0.678,0.322,0.2263,0.008797711,0.218129575,0.77307272,It is worth the drive.,1,4 stars,Indian,10
